Product B005SUHPO6: 
case, 0.00201426626866
phone, 0.00134100797744
iphone, 0.000396153333479
otterbox, 0.000394954433228
protection, 3.28621836488e-05
great case, 3.06627463997e-05
color, 2.87766394249e-05
rubber, 2.1262067033e-05
holster, 1.63677600303e-05
pocket, 1.63247434044e-05
Product B0042FV2SI: 
screen protector, 0.000934686898037
screen, 0.000852598128139
phone, 0.000421530465873
iphone, 0.000254700015131
bubble, 0.000236653287473
protector, 0.00017945700255
product, 0.000145119807188
scratch, 0.000118771659166
glare, 9.74121869951e-05
matte finish, 8.96819752492e-05
Product B008OHNZI0: 
screen protector, 0.000973269187002
screen, 0.000785002665097
bubble, 0.000253957413451
protector, 0.000229430179528
iphone, 0.000162310190864
tech armor, 9.93501911135e-05
product, 8.25114851925e-05
fingerprint, 4.60701287892e-05
great product, 4.5702118136e-05
dust, 2.90372926218e-05
